,name,# batches,total eps,func L2,approx err,priv err,priv loss,smooth err,smooth loss,approx time,priv time,smooth time,total runtime,baseline priv err,baseline runtime
397,aivtytan,21,0.21,8848381.617814865,3396667.939290487,3551955.3598028207,977796.9091749386,5888023.936222089,4775788.694101197,2.1772103309631348,0.0010048018561469186,0.1424573924806383,2.32067252529992,363459818087.43207,0.36394332514868843
398,enyonsn,30,0.3,6439349.739334532,5264162.035193379,5425839.340524049,1174165.659905316,8483805.088121744,6615312.987973084,2.6369736194610596,0.0013969606823391384,0.17912367979685465,2.8174942599402533,497885823321.7397,0.5245454708735148
399,avglybic,19,0.19,6352058.834566302,5037390.204649572,5127508.3360315645,895164.2656794648,13147533.216089886,11986329.76023889,1.8054206371307373,0.0009186532762315539,0.13174962997436523,1.938088920381334,375058821591.4823,0.3285984065797594
400,awribig,19,0.19,8717721.47392127,3852847.36505406,3970079.4582407866,836939.2066546655,6362670.147570679,5022117.723712903,2.0015814304351807,0.0009376870261298285,0.14340901374816892,2.1459281312094793,358646754417.5981,0.34076974127027726
401,ifkalda,20,0.2,11811447.88363673,4591345.481677912,4705625.218644242,984549.1046653814,7883913.441870816,6382628.727178078,2.155334234237671,0.0009890000025431314,0.1474478907055325,2.3037711249457464,394094247718.49866,0.35214071803622776
402,ifeshce,2,0.02,4747062.446312867,254005.40145482452,256837.35860954964,27062.812809629115,443298.1994083821,363040.9060542874,0.07272148132324219,8.442666795518663e-05,0.006414228015475802,0.07922013600667319,47631218004.47548,0.01809705628289117
403,icdultha,12,0.12,14659125.053956294,3391421.3787733424,3457628.4746216014,633955.8480734349,7600856.145132904,6673686.5803519925,1.261986494064331,0.0006278091006808811,0.11380476421780056,1.3764190673828125,264738842135.5183,0.21318834357791475
404,oipial,25,0.25,9982385.86093469,4653465.182349166,4791562.461012883,1044163.3727046687,7928186.9767305255,6338133.988874963,2.4505207538604736,0.0011831124623616538,0.15847453806135392,2.6101784043841896,445443727076.4634,0.44618365499708396
405,icodmup,17,0.17,5830616.420231398,5301488.386401627,5395557.398970411,941978.9910330257,8642557.201330796,6785936.39431441,2.0560503005981445,0.0009155405892266168,0.1770406034257677,2.234006444613139,363415131575.22424,0.30209494961632627
406,ipdraw,5,0.05,518.6312850036245,639971.5199523137,667992.569005179,178487.1817709511,1747894.8702697128,1601311.137484989,0.3752584457397461,0.0002350012461344401,0.028980824682447642,0.40447427166832817,71462440789.92986,0.07381025950113931
407,ilkble,22,0.22,6873593.930787323,5004930.982207922,5137471.053579143,1079025.5230480637,11353589.44475214,10010454.823027749,2.3475584983825684,0.0010678900612725152,0.16117444303300646,2.5098008314768476,410124960402.5789,0.38150216473473436
408,evjoko,26,0.26,5504370.146310837,4872404.982356676,5016054.446451136,1064878.4262516492,7668729.058322561,5910514.606043634,2.321934461593628,0.0012283987469143335,0.16063268979390458,2.483795550134447,462464623524.4104,0.4652671813964843
409,ankped,23,0.23,7548656.203371829,4457082.676237301,4597504.5557259675,1076908.1559435162,7129863.538560513,5523573.169929773,2.181007146835327,0.0010942088233100045,0.15687917338477242,2.3389805290434094,428590980330.43616,0.3984455135133531
410,arcuim,22,0.22,12521466.5234887,4483732.346243431,4607676.388932803,1004732.2966164018,7827658.955172308,6335304.3274978325,2.234261989593506,0.001050485504998101,0.14776738484700522,2.3830798599455094,415955868338.90985,0.3918045626746283
411,ukgoaf,26,0.26,6671102.205129604,5039021.402040887,5179634.6373721175,1100725.675058873,8075630.424272503,6288009.11963932,2.5219547748565674,0.0012275642818874782,0.16780800289577905,2.690990342034234,448693340702.6518,0.4588940276039971
412,odscixam,21,0.21,14553429.412681837,4922599.014389518,5049288.680216926,1042473.6905754418,9495343.13629659,8042000.666135688,2.2904722690582275,0.0010184711880154079,0.15591920746697321,2.4474099477132163,409282825496.4865,0.38389933109283453
413,okvats,15,0.15,9455581.583396973,3771523.0954204407,3832637.2133364836,622101.0186554557,5964640.94398515,4581372.233519813,1.5444674491882324,0.0007060766220092773,0.09513383441501193,1.6403073602252536,326669012577.87897,0.26867360538906526
414,ioajdig,27,0.27,8553651.709397482,4580547.200105777,4725744.503639103,1039149.3489716093,7401807.266796631,5788415.630951683,2.5487759113311768,0.0012582275602552625,0.157387031449212,2.707421170340644,469352969331.55536,0.48815920617845326
415,ojroigna,27,0.27,8318382.119310221,4894321.768212282,5072726.380565,1270406.830392744,7728181.279725594,5944674.057927296,2.593198299407959,0.0013030370076497395,0.190118498272366,2.784619834687975,471472594948.28827,0.4745594263076782
416,iapberci,24,0.24,6442435.195968554,4888292.280926809,5007476.574021591,938832.6744317836,8232049.261304555,6564111.343721654,2.0654959678649902,0.0011073085996839735,0.1424890889061822,2.2090923653708563,432052473273.3229,0.4216807021035089
417,evfler,14,0.14,31688774.51228179,4182427.874662069,4295140.47842685,866667.3086706817,9481605.601432322,8376728.669870665,1.6970434188842773,0.0008637110392252605,0.21533151467641198,1.9132386445999146,320801767238.4351,0.23987976710001627
418,uvigcho,26,0.26,8072646.131197348,4936206.371989097,5085565.8624964375,1141734.2968454706,11625180.64385273,10289755.898448791,2.388190269470215,0.0012422270245022243,0.1718704303105672,2.5613029268052845,456624682150.4151,0.4608945184283787
419,indtwrat,18,0.18,12017733.290864807,4842638.781901922,4950950.74166031,969413.4428543716,9742622.178991064,8191636.830432638,1.8779540061950684,0.0009282165103488498,0.16136078039805093,2.040243003103468,367605836488.035,0.3203971783320109
420,abmuyawm,23,0.23,7735546.840095987,4394361.591775439,4533366.368291179,1015695.7494223592,7296079.861802263,5781511.207509463,2.123962640762329,0.0010971625645955405,0.15136864450242782,2.2764284478293524,421041554548.03125,0.401277330186632
421,udthon,23,0.23,6361801.892932558,3902919.1130679413,4039274.9605635284,940390.9898449184,6787919.193442618,5415953.683298128,2.259289026260376,0.0010786851247151692,0.14239370822906497,2.4027614196141562,424565078876.89905,0.4159496360354954
422,ophgir,21,0.21,6699522.749824273,3900398.405355802,4045096.901116495,1035841.0654109704,6348879.422946691,4979110.063309636,2.0764384269714355,0.0010272794299655491,0.15535577138264975,2.232821477784051,406144256640.9611,0.380969762802124
423,idvowwed,28,0.28,8424223.749075044,5037564.465379593,5194441.605483601,1131427.838778216,8086682.46819944,6305210.384245344,2.6502578258514404,0.0013062291675143773,0.1711432668897841,2.822707321908739,477741267580.3079,0.497103558646308
